Name	Set	ImageFile	Energy	Attack	Counter	Class	Type	Weapon Rank	Equipment	Leadership	Constitution	Relationships	Skills/Abilities	Emblem Powers	Special Abilities	Use Timing	Effect	Nation	Rom. Name	Script
Seliph (Lv10)	S1	fe011.png	7	3	1	Junior Lord	Male/Sword/Direct/Infantry	Sword S	Silver Sword	2		Father: Sigurd / Mother: Deirdre	Pursuit, Nihil		[Seize]: You win the game when this unit enters an enemy sortie square. When this unit withdraws, all of your units retreat 1 square.			House Chalphy	Celice	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Julius (Lv10)	S1	fe012.png	7	4	2	Dark Prince	Male/Fire/Magic/Infantry	Fire A / Thunder A / Wind A / Dark S	Elfire	2		Father: Arvis / Mother: Deirdre / Sister: Julia	Wrath, Nihil, Pursuit, Accost		[Seize]: You win the game when this unit enters an enemy sortie square. When this unit withdraws, all of your units retreat 1 square.			Grannvale Empire	Yurius	<s><l>Initial Equipment</l><f>/ccg-4</f></s>
Tailtiu (Lv1)	S1	fe013.png	3	1	1	Thunder Mage	Female/Thunder/Magic/Infantry	Thunder A	Thunder			Child: Arthur, Tine	Wrath					House Friege	Tailto	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Claud (Lv1)	S1	fe014.png	5	3		High Priest	Male/Staff/Recovery/Infantry	Staff S / Fire C / Thunder C / Wind C	Heal Staff									House Edda	Claud	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Lex (Lv1)	S1	fe015.png	5	2	1	Axe Knight	Male/Axe/Direct/Cavalry	Axe A	Iron Axe			Father: Lombard / Brother: Danann	Vantage		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			House Dozel	Lex	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Azelle (Lv1)	S1	fe016.png	3	1	1	Mage	Male/Fire/Magic/Infantry	Fire B / Thunder C / Wind C	Fire			Brother: Arvis	Pursuit					House Velthomer	Azel	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Edain (Lv1)	S1	fe017.png	4	2		Priest	Female/Staff/Recovery/Infantry	Staff B	Heal Staff			Sister: Brigid / Child: Lester, Lana						House Jungby	Adean	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Lachesis (Lv1)	S1	fe018.png	4	2	1	Princess	Female/Sword/Direct/Infantry	Sword A / Staff C	Iron Sword			Brother: Eldigan / Child: Diarmuid, Nanna						Kingdom of Nordion	Rackesis	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Eve (Lv1)	S1	fe019.png	5	3	2	Paladin	Male/Sword/Direct/Cavalry	Sword B / Lance B	Steel Sword			Brother: Eva, Alva			[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Nordion	Eve	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Eva (Lv1)	S1	fe020.png	5	3	2	Paladin	Male/Sword/Direct/Cavalry	Sword B / Lance B	Steel Sword			Brother: Eve, Alva			[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Nordion	Eva	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Alva (Lv1)	S1	fe021.png	5	3	2	Paladin	Male/Sword/Direct/Cavalry	Sword B / Lance B	Steel Sword			Brother: Eve, Eva			[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Nordion	Alva	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Ayra (Lv1)	S1	fe022.png	4	3	1	Sword Fighter	Female/Sword/Direct/Infantry	Sword A	Iron Blade			Child: Scathach, Larcei	Pursuit, Nihil, Astra					Kingdom of Isaach	Ira	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Ethlyn (Lv1)	S1	fe023.png	3	1	1	Troubadour	Female/Sword/Direct/Cavalry	Sword A / Staff C	Iron Sword			Brother: Sigurd / Child: Altena, Leif	Critical		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Leonster	Ethlin	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Finn (Lv1)	S1	fe024.png	5	2	1	Lance Knight	Male/Lance/Direct/Cavalry	Lance B	Iron Lance				Pursuit, Miracle		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Leonster	Fin	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Deirdre (Lv1)	S1	fe025.png	3	2	1	Priestess	Female/Light/Magic/Infantry	Staff B / Light S	Lightning			Child: Seliph, Julius, Julia	Nihil					Kingdom of Verdane	Diadora	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Jamke (Lv1)	S1	fe026.png	3	2	1	Bow Fighter	Male/Bow/Indirect/Infantry	Bow A	Iron Bow			Brother: Gandolf, Kinbaith	Pursuit, Continue, Accost					Kingdom of Verdane	Jamka	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Lewyn (Lv1)	S1	fe027.png	4	1	1	Bard	Male/Wind/Magic/Infantry	Fire C / Thunder C / Wind S / Light C	Wind				Continue, Critical					Kingdom of Silesse	Levn	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Midir (Lv1)	S1	fe028.png	4	1	1	Arch Knight	Male/Bow/Indirect/Cavalry	Bow B	Iron Bow				Pursuit, Accost		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			House Jungby	Midayle	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Alec (Lv1)	S1	fe029.png	4	2	1	Cavalier	Male/Sword/Direct/Cavalry	Sword B / Lance C	Iron Sword				Pursuit, Nihil		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			House Chalphy	Alec	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Arden (Lv1)	S1	fe030.png	6	2	1	Sword Armor	Male/Sword/Direct/Infantry	Sword B	Iron Sword				Vantage		[Heavy Step]: Each time this unit moves 1 square, it consumes 1 energy chip.			House Chalphy	Arden	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Noish (Lv1)	S1	fe031.png	4	2	1	Cavalier	Male/Sword/Direct/Cavalry	Sword B / Lance C	Iron Sword				Critical, Accost		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			House Chalphy	Noish	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Erinys (Lv1)	S1	fe032.png	4	1	1	Pegasus Knight	Female/Lance/Direct/Flying	Sword B / Lance B	Slim Lance			Sister: Annand / Child: Ced, Fee	Pursuit		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Silesse	Ferry	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Annand (Lv1)	S1	fe033.png	5	2	2	Falcon Knight	Female/Lance/Direct/Flying	Sword A / Lance A / Staff C	Iron Lance			Sister: Erinys	Continue		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Silesse	Mahnya	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Dithorba (Lv1)	S1	fe034.png	5	2	2	Falcon Knight	Female/Lance/Direct/Flying	Sword A / Lance A / Staff C	Iron Lance				Continue		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Silesse	Deet'var	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Pamela (Lv1)	S1	fe035.png	5	2	2	Falcon Knight	Female/Lance/Direct/Flying	Sword A / Lance A / Staff C	Iron Lance				Continue		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Silesse	Pamela	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Beowolf (Lv1)	S1	fe036.png	5	2	1	Free Knight	Male/Sword/Direct/Cavalry	Sword B	Iron Sword				Pursuit, Accost		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.				Beowolf	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Dew (Lv1)	S1	fe037.png	2	1	1	Thief	Male/Sword/Direct/Infantry	Sword C	Slim Sword				Sol		[Steal]: If the attack is successful, your opponent moves chips from his unused chip pile to the used chip pile, equal to the damage dealt  x5.				Dew	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Holyn (Lv1)	S1	fe038.png	4	3	1	Sword Fighter	Male/Sword/Direct/Infantry	Sword A	Iron Blade				Pursuit, Luna						Holyn	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Brigid (Lv1)	S1	fe039.png	4	3	2	Sniper	Female/Bow/Indirect/Infantry	Bow S	Steel Bow			Sister: Edain / Child: Faval, Patty	Pursuit					House Jungby	Briggid	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Silvia (Lv1)	S1	fe040.png	2	1	1	Dancer	Female/Sword/Direct/Infantry	Sword C	Slim Sword			Child: Lene, Cairpre	Continue, Miracle		[Dance]: Spend 1 energy chip to put an adjancent unit actionable state. You cannot use [Dance] if you move or attack an opponents unit.				Sylvia	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Oifey (Lv1)	S1	fe041.png	5	3	2	Paladin	Male/Sword/Direct/Cavalry	Sword A / Lance B	Steel Sword				Pursuit, Critical		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			House Chalphy	Oifey	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Shannan (Lv1)	S1	fe042.png	5	4	2	Swordmaster	Male/Sword/Direct/Infantry	Sword S	Steel Blade				Pursuit, Continue, Astra					Kingdom of Isaach	Shanan	<s><l>Initial Equipment</l><f>/ccg-4</f></s>
Leif (Lv1)	S1	fe043.png	4	2	1	Prince	Male/Sword/Direct/Infantry	Sword A	Iron Sword			Father: Quan / Mother: Ethlyn / Sister: Altena	Continue, Critical					Kingdom of Leonster	Leaf	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Finn (Lv10)	S1	fe044.png	7	3	1	Lance Knight	Male/Lance/Direct/Cavalry	Lance B	Steel Lance				Pursuit, Miracle		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Leonster	Fin	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Ares (Lv1)	S1	fe045.png	4	2	1	Cavalier	Male/Sword/Direct/Cavalry	Sword S / Lance B	Iron Sword			Father: Eldigan	Pursuit, Continue, Vantage		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Nordion	Aless	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Julia (Lv1)	S1	fe046.png	3	1		Priestess	Female/Staff/Recovery/Infantry	Staff B / Light S	Heal Staff			Father: Arvis / Mother: Deirdre / Brother: Julius	Pursuit, Continue, Nihil					Grannvale Empire	Yuria	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Arion (Lv1)	S1	fe047.png	6	3	2	Dragon Master	Male/Lance/Direct/Flying	Sword A / Lance S	Steel Lance			Father: Travant	Pursuit, Continue, Nihil		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Thracia	Areone	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Altena (Lv1)	S1	fe048.png	5	2	1	Dragon Knight	Female/Lance/Direct/Flying	Sword A / Lance S	Iron Lance			Father: Quan / Mother: Ethlyn / Brother: Leif	Continue, Critical		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Leonster	Altenna	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Hannibal (Lv1)	S1	fe049.png	6	3	2	General	Male/Sword/Direct/Infantry	Sword A / Lance A / Axe B / Bow B	Steel Blade				Pavise, Continue, Vantage		[Heavy Step]: Each time this unit moves 1 square, it consumes 1 energy chip.			Kingdom of Thracia	Hannibal	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Johan (Lv1)	S1	fe050.png	5	2	1	Axe Knight	Male/Axe/Direct/Cavalry	Axe A	Iron Axe			Father: Danann / Brother: Brian, Johalvier	Vantage		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			House Dozel	Johan	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Johalvier (Lv1)	S1	fe051.png	4	3	1	Axe Fighter	Male/Axe/Direct/Infantry	Axe A	Iron Axe			Father: Danann / Brother: Brian, Johan	Accost					House Dozel	Johalva	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Scathach (Lv1)	S1	fe052.png	4	3	1	Sword Fighter	Male/Sword/Direct/Infantry	Sword A	Iron Blade			Mother: Ayra / Sister: Larcei	Pursuit, Nihil, Astra					Kingdom of Isaach	Skasaher	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Larcei (Lv1)	S1	fe053.png	4	3	1	Sword Fighter	Female/Sword/Direct/Infantry	Sword A	Iron Blade			Mother: Ayra / Brother: Scathach	Pursuit, Nihil, Astra					Kingdom of Isaach	Lakche	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Lester (Lv1)	S1	fe054.png	4	1	1	Arch Knight	Male/Bow/Indirect/Cavalry	Bow A	Iron Bow			Mother: Edain / Sister: Lana			[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			House Jungby	Lester	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Lana (Lv1)	S1	fe055.png	4	2		Priest	Female/Staff/Recovery/Infantry	Staff B	Heal Staff			Mother: Edain / Brother: Lester						House Jungby	Lana	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Diarmuid (Lv1)	S1	fe056.png	5	2	1	Free Knight	Male/Sword/Direct/Cavalry	Sword A	Iron Sword			Mother: Lachesis / Sister: Nanna			[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Nordion	Delmud	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Nanna (Lv1)	S1	fe057.png	3	1	1	Troubadour	Female/Sword/Direct/Cavalry	Sword A / Staff C	Iron Sword			Mother: Lachesis / Brother: Diarmuid			[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Nordion	Nanna	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Ced (Lv1)	S1	fe058.png	5	3	2	Sage	Male/Light/Magic/Infantry	Staff B / Fire B / Thunder B / Wind B / Light B	Lightning			Mother: Erinys / Sister: Fee	Pursuit, Continue					Kingdom of Silesse	Sety	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Fee (Lv1)	S1	fe059.png	4	1	1	Pegasus Knight	Female/Lance/Direct/Flying	Sword B / Lance B	Slim Lance			Mother: Erinys / Brother: Ced	Pursuit		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Silesse	Phee	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Arthur (Lv1)	S1	fe060.png	4	1	1	Mage	Male/Wind/Magic/Infantry	Fire C / Thunder B / Wind C	Wind			Mother: Tailtiu / Sister: Tine	Wrath					House Friege	Arthur	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Tine (Lv1)	S1	fe061.png	4	1	1	Mage	Female/Thunder/Magic/Infantry	Fire C / Thunder B / Wind C	Thunder			Mother: Tailtiu / Brother: Arthur	Wrath					House Friege	Teeny	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Faval (Lv1)	S1	fe062.png	3	2	1	Bow Fighter	Male/Bow/Indirect/Infantry	Bow S	Iron Bow			Mother: Brigid / Sister: Patty	Pursuit					House Jungby	Faval	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Patty (Lv1)	S1	fe063.png	2	1	1	Thief	Female/Sword/Direct/Infantry	Sword C	Slim Sword			Mother: Brigid / Brother: Faval			[Steal]: If the attack is successful, your opponent moves chips from his unused chip pile to the used chip pile, equal to the damage dealt  x5.			House Jungby	Patty	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Lene (Lv1)	S1	fe064.png	2	1	1	Dancer	Female/Sword/Direct/Infantry	Sword C	Slim Sword			Mother: Silvia / Brother: Cairpre	Continue, Miracle		[Dance]: Spend 1 energy chip to put an adjancent unit actionable state. You cannot use [Dance] if you move or attack an opponents unit.				Leen	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Cairpre (Lv1)	S1	fe065.png	4	2		Priest	Male/Staff/Recovery/Infantry	Staff A	Heal Staff			Mother: Silvia / Sister: Lene	Continue, Miracle						Corpul	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Rodolbahn (Lv1)	S1	fe066.png	4	3	1	Sword Fighter	Male/Sword/Direct/Infantry	Sword A	Iron Blade			Sister: Radney	Pursuit, Vantage					Kingdom of Isaach	Roddlevan	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Radney (Lv1)	S1	fe067.png	4	3	1	Sword Fighter	Female/Sword/Direct/Infantry	Sword A	Iron Blade			Brother: Rodolbahn	Pursuit					Kingdom of Isaach	Radney	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Dimna (Lv1)	S1	fe068.png	4	1	1	Arch Knight	Male/Bow/Indirect/Cavalry	Bow B	Iron Bow			Sister: Mana	Pursuit		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Isaach	Dimna	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Mana (Lv1)	S1	fe069.png	4	2		Priest	Female/Staff/Recovery/Infantry	Staff B	Heal Staff			Brother: Dimna						Kingdom of Isaach	Mana	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Tristan (Lv1)	S1	fe070.png	5	2	1	Free Knight	Male/Sword/Direct/Cavalry	Sword B	Iron Sword			Sister: Jeanne	Critical		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Nordion	Tristan	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Jeanne (Lv1)	S1	fe071.png	3	1	1	Troubadour	Female/Sword/Direct/Cavalry	Sword B / Staff C	Iron Sword			Brother: Tristan			[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Nordion	Janne	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Hawke (Lv1)	S1	fe072.png	5	3	2	Sage	Male/Light/Magic/Infantry	Staff B / Fire B / Thunder B / Wind B / Light B	Lightning			Sister: Femina	Pursuit, Continue					Kingdom of Silesse	Hawk	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Femina (Lv1)	S1	fe073.png	4	1	1	Pegasus Knight	Female/Lance/Direct/Flying	Sword B / Lance B	Slim Lance			Brother: Hawke	Continue		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Silesse	Femina	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Amid (Lv1)	S1	fe074.png	3	1	1	Wind Mage	Male/Wind/Magic/Infantry	Wind B	Wind			Sister: Linda	Wrath					House Friege	Amid	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Linda (Lv1)	S1	fe075.png	3	1	1	Thunder Mage	Female/Thunder/Magic/Infantry	Thunder B	Thunder			Brother: Amid	Wrath					House Friege	Linda	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Asaello (Lv1)	S1	fe076.png	3	2	1	Bow Fighter	Male/Bow/Indirect/Infantry	Bow A	Iron Bow			Sister: Daisy	Pursuit, Accost					Kingdom of Leonster	Asaello	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Daisy (Lv1)	S1	fe077.png	2	1	1	Thief	Female/Sword/Direct/Infantry	Sword C	Slim Sword			Brother: Asaello	Miracle		[Steal]: If the attack is successful, your opponent moves chips from his unused chip pile to the used chip pile, equal to the damage dealt  x5.			Kingdom of Leonster	Daisy	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Leylia (Lv1)	S1	fe078.png	2	1	1	Dancer	Female/Sword/Direct/Infantry	Sword C	Slim Sword			Brother: Sharlow			[Dance]: Spend 1 energy chip to put an adjancent unit actionable state. You cannot use [Dance] if you move or attack an opponents unit.				Laylea	<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Sharlow (Lv1)	S1	fe079.png	4	2		Priest	Male/Staff/Recovery/Infantry	Staff B	Heal Staff			Sister: Leylia							Sharlow	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Ishtar (Lv1)	S1	fe080.png	5	2	2	Sage	Female/Thunder/Magic/Infantry	Staff B / Fire B / Thunder S / Wind B	Elthunder			Brother: Ishtore	Continue, Vantage					House Friege	Ishtar	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Manfroy (Lv1)	S1	fe081.png	5	3	2	Dark Bishop	Male/Dark/Magic/Infantry	Staff A / Fire A / Thunder A / Wind A / Dark A	Jormungand				Pursuit, Continue					Loptr Church	Manfroy	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Deirdre (Lv10)	S1	fe082.png	5	3	1	Priestess	Female/Light/Magic/Infantry	Staff B / Light S	Lightning			Child: Seliph, Julius, Julia	Nihil					Kingdom of Verdane	Diadora	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Julia (Lv10)	S1	fe083.png	5	3	1	Priestess	Female/Light/Magic/Infantry	Staff B / Light S	Lightning			Father: Arvis / Mother: Deirdre / Brother: Julius	Pursuit, Continue, Nihil					Grannvale Empire	Yuria	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Gandolf (Lv1)	S1	fe084.png	5	4	2	Warrior	Male/Axe/Direct/Infantry	Axe A / Bow B	Steel Axe			Brother: Kingbaith, Jamke						Kingdom of Verdane	Gandolf	<s><l>Initial Equipment</l><f>/ccg-4</f></s>
Kinbaith (Lv1)	S1	fe085.png	5	4	2	Warrior	Male/Axe/Direct/Infantry	Axe A / Bow B	Steel Axe			Brother: Gandolf, Jamke						Kingdom of Verdane	Kinbois	<s><l>Initial Equipment</l><f>/ccg-4</f></s>
Lombard (Lv1)	S1	fe086.png	6	3	2	Baron	Male/Axe/Direct/Infantry	Sword A / Lance A / Axe S / Bow A	Steel Axe			Child: Danann, Lex	Pavise		[Heavy Step]: Each time this unit moves 1 square, it consumes 1 energy chip.			House Dozel	Langobalt	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Danann (Lv1)	S1	fe087.png	6	3	2	Baron	Male/Axe/Direct/Infantry	Sword A / Lance A / Axe A / Bow A	Steel Axe			Father: Lombard / Brother: Lex / Child: Brian, Johan, Johalvier	Pavise		[Heavy Step]: Each time this unit moves 1 square, it consumes 1 energy chip.			House Dozel	Danan	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Brian (Lv1)	S1	fe088.png	6	3	2	Master Knight	Male/Axe/Direct/Cavalry	Sword A / Lance A / Axe S / Bow A	Steel Axe			Father: Danann / Brother: Johan, Johalvier	Pursuit, Accost		[Re-movement]: After an action, the unit can move again by spending 1 energy chip.			House Dozel	Burian	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Ishtore (Lv1)	S1	fe089.png	5	2	2	Mage Fighter	Male/Thunder/Magic/Infantry	Sword C / Fire B / Thunder A / Wind B	Elthunder			Sister: Ishtar	Continue					House Friege	Ishtore	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Aida (Lv1)	S1	fe090.png	5	2	2	Mage Fighter	Female/Fire/Magic/Infantry	Sword C / Fire B / Thunder B / Wind B	Elfire				Continue					House Velthomer	Aida	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Cavalier (Lv1)	S1	fe091.png	3	1	1	Cavalier 	Male/Soldier/Sword/Direct/Cavalry	Sword B / Lance C	Iron Sword						[Re-movement]: After an action, the unit can move again by spending 1 energy chip.					<s><l>Initial Equipment</l><f>/ccg-1</f></s>
Axe Knight (Lv1)	S1	fe092.png	4	2	1	Axe Knight 	Male/Soldier/Axe/Direct/Cavalry	Axe B	Iron Axe						[Re-movement]: After an action, the unit can move again by spending 1 energy chip.					<s><l>Initial Equipment</l><f>/ccg-2</f></s>
